artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Alan Charlton,Minimalism,Minimalism,{Minimalism:11},11,Sheffield,1948.0,,,male,United Kingdom,"lithographer,painter,artist,diplomat",London,[]
Alex Hay,"Minimalism, Pop Art",Pop Art,"{Minimalism:8},{Pop Art:3}",11,,1930.0,,,male,United Kingdom,"writer,printmaker,artist",,[]
Andre Cadere,Minimalism,Conceptual Art,{Minimalism:16},16,Warsaw,1934.0,1978.0,14th arrondissement of Paris,male,Romania,"conceptual artist,video artist,sculptor,artist",,[]
Antonio Calderara,Minimalism,Minimalism,{Minimalism:23},23,Abbiategrasso,1903.0,1978.0,Ameno,male,Kingdom of Italy,"graphic artist,painter,artist",,[]
Bruce Nauman,Minimalism,Post-Minimalism,{Minimalism:15},15,Fort Wayne,1941.0,,,male,United States,"video artist,installation artist,drawer,architectural draftsperson,printmaker,performance artist,visual artist,sculptor,television producer,artist,photographer","San Francisco,Pasadena,Mill Valley,Galisteo",[]
Callum Innes,Minimalism,Contemporary,{Minimalism:15},15,Edinburgh,1962.0,,,male,United Kingdom,painter,"Glasgow,Amsterdam",[]
Christopher Wilmarth,"Minimalism, Post-Minimalism",Minimalism,"{Minimalism:9},{Post-Minimalism:6}",15,Sonoma,1943.0,1987.0,Red Hook,male,United States,"drawer,sculptor,painter",,[]
Dadamaino,"Minimalism, Op Art, Spatialism",Spatialism,"{Minimalism:4},{Op Art:10},{Spatialism:6}",20,Milan,1930.0,2004.0,Milan,female,Kingdom of Italy,painter,Milan,['Milan:2000-2003']
Derek Boshier,"Minimalism, Pop Art",Pop Art,"{Minimalism:1},{Pop Art:21}",22,Portsmouth,1937.0,2024.0,Los Angeles,male,United Kingdom,"serigrapher,video artist,sculptor,painter,artist,photographer",London,[]
Edward Krasinski,Minimalism,Conceptual Art,{Minimalism:15},15,Lutsk,1925.0,2004.0,Warsaw,male,Poland,"conceptual artist,performance artist,sculptor,painter",Kraków,['Kraków:1940-1940']
Ettore Spalletti,Minimalism,Arte Povera,{Minimalism:19},19,Cappelle sul Tavo,1940.0,2019.0,Cappelle sul Tavo,male,Kingdom of Italy,"visual artist,sculptor,painter",,[]
Fred Sandback,Minimalism,Conceptual Art,{Minimalism:16},16,Bronxville,1943.0,2003.0,New York City,male,United States,"conceptual artist,drawer,visual artist,sculptor,painter",New York City,['New York City:1971-2003']
Gego,"Minimalism, Op Art, Post-Minimalism",Op Art,"{Minimalism:10},{Op Art:18},{Post-Minimalism:3}",31,Hamburg,1912.0,1994.0,Caracas,female,Venezuela,"drawer,visual artist,sculptor,painter,illustrator,architect,teacher",,[]
Gianni Piacentino,Minimalism,Arte Povera,{Minimalism:14},14,Coazze,1945.0,,,male,Italy,"sculptor,painter",,[]
Gisela Colon,Minimalism,Minimalism,{Minimalism:2},2,Vancouver,1966.0,,,female,United States,sculptor,,[]
Gunter Umberg,Minimalism,Minimalism,{Minimalism:10},10,,,,,,,,,
Ha Chong-Hyun,Minimalism,Korean Informel,{Minimalism:10},10,,1935.0,,,male,South Korea,painter,,[]
James Bishop,Minimalism,Minimalism,{Minimalism:10},10,New Brunswick,1816.0,1895.0,Morristown,male,United States,"politician,businessperson",Trenton,[]
James Licini,Minimalism,Minimalism,{Minimalism:11},11,Zurich,1937.0,,,male,Switzerland,visual artist,,[]
Jan Groth,Minimalism,Minimalism,{Minimalism:15},15,Stavanger,1938.0,2022.0,Oslo,male,Norway,"drawer,designer,painter",,[]
Jean-Pierre Raynaud,"Minimalism, Nouveau Réalisme",Minimalism,"{Minimalism:6},{Nouveau Réalisme:4}",10,,1947.0,,,male,France,"pensioner,politician",,[]
Jeremy Moon,"Minimalism, Post-Minimalism, Post-Painterly Abstraction",Post-Painterly Abstraction,"{Minimalism:2},{Post-Minimalism:2},{Post-Painterly Abstraction:35}",39,,1934.0,,,male,United Kingdom,"painter,artist,businessperson,university teacher,political scientist",,[]
Joachim Bandau,"Minimalism, Post-Minimalism",Minimalism,"{Minimalism:15},{Post-Minimalism:4}",19,Cologne,1936.0,,,male,Germany,"visual artist,university teacher,sculptor,painter",Aachen,[]
Johannes Jan Schoonhoven,Minimalism,Minimalism,{Minimalism:24},24,,,,,,,,,
Katsuhito Nishikawa,Minimalism,Minimalism,{Minimalism:26},26,Tokyo,1949.0,,,male,Japan,sculptor,,[]
Keith Sonnier,Minimalism,Post-Minimalism,{Minimalism:15},15,Mamou,1941.0,2020.0,Southampton Hospital,male,United States,"video artist,printmaker,performance artist,multimedia artist,sculptor,artist",,[]
Kishio Suga,"Minimalism, Post-Minimalism",Minimalism,"{Minimalism:4},{Post-Minimalism:8}",12,Morioka,1944.0,,,male,Japan,"installation artist,sculptor",,[]
Kuno Gonschior,"Minimalism, Post-Painterly Abstraction",Post-Painterly Abstraction,"{Minimalism:2},{Post-Painterly Abstraction:13}",15,Wanne-Eickel,1935.0,2010.0,Bochum,male,Germany,"university teacher,painter",,[]
Lyman Kipp,Minimalism,Minimalism,{Minimalism:12},12,Dobbs Ferry,1929.0,2014.0,Bonita Springs,male,United States,artist,,[]
Lynda Benglis,Minimalism,Feminist Art,{Minimalism:15},15,Lake Charles,1941.0,,,female,United States,"video artist,performance artist,sculptor,painter,photographer",New York City,[]
Martial Raysse,"Minimalism, Nouveau Réalisme, Pop Art",Pop Art,"{Minimalism:3},{Nouveau Réalisme:12},{Pop Art:28}",43,Golfe-Juan,1936.0,,,male,France,"visual artist,film director,sculptor,painter,illustrator,artist",,[]
Martin Barre,Minimalism,Minimalism,{Minimalism:21},21,Birmingham,1946.0,,,male,United Kingdom,"painter,photographer",,[]
Michel Parmentier,Minimalism,Minimalism,{Minimalism:10},10,Paris,1938.0,2000.0,Paris,male,France,"painter,association football player",,[]
Niele Toroni,Minimalism,Minimalism,{Minimalism:11},11,Muralto,1937.0,,,male,Switzerland,"drawer,visual artist,painter",Paris,[]
Park Seo-Bo,Minimalism,Korean Informel,{Minimalism:18},18,,1931.0,2023.0,,male,South Korea,painter,,[]
Paul Brach,Minimalism,Minimalism,{Minimalism:16},16,Saint-Cloud,1893.0,1939.0,,male,,"printmaker,lecturer,painter,artist,novelist,chronicler,journalist,poet,writer",,[]
Peter Downsbrough,Minimalism,Conceptual Art,{Minimalism:10},10,New Brunswick,1940.0,2024.0,City of Brussels,male,United States,"conceptual artist,drawer,visual artist,sculptor,painter,artist,architect,photographer",Molenbeek,['Molenbeek:1989-1989']
Phil Sims,"Minimalism, Unknown",Minimalism,"{Minimalism:13},{Unknown:2}",15,,1940.0,,,male,United States,"painter,basketball player",,[]
Pierre Soulages,"Minimalism, Tachisme",Abstract Art,"{Minimalism:19},{Tachisme:20}",39,Rodez,1919.0,2022.0,Centre Hospitalier Universitaire De Nîmes,male,France,"tapestry weaver,copper engraver,theatre designer,printmaker,etcher,ceramicist,graphic artist,sculptor,painter,illustrator,engraver","Liège,Paris,Courbevoie,Sète",[]
Pino Pinelli,Minimalism,Post-Painterly Abstraction,{Minimalism:19},19,Milan,1928.0,1969.0,Milan,male,Kingdom of Italy,"railway worker,partisan",,[]
Richard Serra,Minimalism,Post-Minimalism,{Minimalism:15},15,San Francisco,1938.0,2024.0,Orient,male,United States,"video artist,drawer,visual artist,sculptor,painter,television producer,artist","New Haven,Paris,New York City,Florence",[]
Robert Grosvenor,Minimalism,Minimalism,{Minimalism:12},12,,,,,male,,,London,[]
Robert Mangold,Minimalism,Minimalism,{Minimalism:37},37,North Tonawanda,1937.0,,,male,United States,"drawer,visual artist,painter,illustrator,artist",,[]
Robert Ryman,Minimalism,Minimalism,{Minimalism:40},40,Nashville,1930.0,2019.0,Greenwich Village,male,United States,"drawer,visual artist,painter,illustrator",New York City,[]
Roman Cotosman,Minimalism,Minimalism,{Minimalism:10},10,Jimbolia,1935.0,2006.0,Philadelphia,male,Romania,"printmaker,sculptor,painter",,[]
Ronald Bladen,Minimalism,Minimalism,{Minimalism:15},15,Vancouver,1918.0,1988.0,New York City,male,United States,"drawer,sculptor,painter",,[]
Rudolf de Crignis,Minimalism,Minimalism,{Minimalism:24},24,Winterthur,1948.0,2006.0,New York City,male,Switzerland,"video artist,drawer,painter",,[]
Ruth Vollmer,Minimalism,Minimalism,{Minimalism:25},25,New York City,1903.0,1982.0,New York City,female,United States,"drawer,sculptor,painter,artist",,[]
Sheila Hicks,Minimalism,Post-Minimalism,{Minimalism:14},14,Hastings,1934.0,,,female,United States,"manufacturer,textile artist,designer,painter,artist,weaver",,[]
Simone Forti,"Minimalism, Performance Art, Post-Minimalism",Performance Art,"{Minimalism:9},{Performance Art:5},{Post-Minimalism:1}",15,Florence,1935.0,,,female,United States,"music educator,dancer,film director,choreographer,ballet dancer,artist,composer,writer",,[]
Stephen Antonakos,"Minimalism, Post-Minimalism",Post-Minimalism,"{Minimalism:12},{Post-Minimalism:9}",21,Agios Nikolaos,1926.0,2013.0,New York City,male,Greece,"kinetic artist,drawer,sculptor,artist","Berlin,New York City",[]
Tess Jaray,"Minimalism, Op Art",Op Art,"{Minimalism:1},{Op Art:17}",18,Vienna,1937.0,,,female,United Kingdom,painter,,[]
Tony Smith,Minimalism,Minimalism,{Minimalism:16},16,,,,,male,United States,"basketball player,rugby league player,cricketer,painter,visual artist,politician",,[]
Victor Bonato,"Minimalism, Op Art, Unknown",Op Art,"{Minimalism:4},{Op Art:13},{Unknown:1}",18,Cologne,1934.0,2019.0,,male,Germany,"sculptor,artist",,[]
Yui Yaegashi,Minimalism,Minimalism,{Minimalism:15},15,Chiba,1985.0,,,,Japan,painter,,[]
Albert Namatjira,"Modernism, Native Art",Modernism,"{Modernism:72},{Native Art:2}",74,Hermannsburg,1902.0,1959.0,Alice Springs,male,Australia,painter,,[]
Arthur Nísio,"Modernismo, Social Realism",Social Realism,"{Modernismo:2},{Social Realism:6}",8,,,,,,,,,
Emiliano Di Cavalcanti,Modernismo,Modernismo,{Modernismo:20},20,Rio de Janeiro,1897.0,1976.0,Rio de Janeiro,male,Brazil,"caricaturist,visual artist,painter,illustrator",,[]
Jesus Helguera,Modernismo,Modernismo,{Modernismo:18},18,Chihuahua City,1910.0,1971.0,Córdoba,male,Mexico,painter,,[]
Jose Guadalupe Posada,"Modernismo, Unknown",Modernismo,"{Modernismo:54},{Unknown:1}",55,Aguascalientes City,1852.0,1913.0,Mexico City,male,Mexico,"printmaker,caricaturist,graphic artist,painter,illustrator",,[]
Pedro Figari,"Modernismo, Unknown",Modernismo,"{Modernismo:1},{Unknown:2}",3,Montevideo,1861.0,1938.0,Montevideo,male,Uruguay,"drawer,philosopher,visual artist,journalist,pedagogue,painter,educator,politician,lawyer,writer",,[]
Rene Portocarrero,Modernismo,Modernismo,{Modernismo:26},26,Cerro,1912.0,1985.0,Havana,male,Cuba,"drawer,sculptor,painter,illustrator",,[]
Victor Brecheret,Modernismo,Modernism,{Modernismo:20},20,Farnese,1894.0,1955.0,São Paulo,male,Brazil,sculptor,,[]
Nicholas of Verdun,Mosan art,Romanesque Art,{Mosan art:57},57,Verdun,1130.0,1205.0,Tournai,male,Duchy of Lorraine,"sculptor,painter,goldsmith","Rome,Vienna",[]
Andrei Rublev,"Moscow school of icon painting, Unknown",Byzantine Art,"{Moscow school of icon painting:55},{Unknown:2}",57,Grand Principality of Moscow,1360.0,1430.0,Andronikov Monastery,male,Grand Principality of Moscow,"iconographer,painter,illuminator",,[]
Ende,"Mozarabic, Unknown",Pre-Romanesque Art,"{Mozarabic:32},{Unknown:1}",33,http://www.wikidata.org/.well-known/genid/195b98d5a287e59da0431440f78583d4,,1100.0,Kingdom of León,female,Kingdom of León,"illuminator,nun,botanist",Tábara,[]
Facundus,"Mozarabic, Unknown",Romanesque Art,"{Mozarabic:53},{Unknown:1}",54,León,300.0,304.0,Sahagún,male,http://www.wikidata.org/.well-known/genid/a1a64316e3d270ec704ff940f674a446,illuminator,,[]
Carlos Almaraz,"Muralism, Neo-Expressionism, Neo-Impressionism, Pop Art",Neo-Expressionism,"{Muralism:7},{Neo-Expressionism:34},{Neo-Impressionism:1},{Pop Art:5}",47,Mexico City,1941.0,1989.0,,male,United States,painter,,[]
Jorge González Camarena,Muralism,Muralism,{Muralism:7},7,Guadalajara,1908.0,1980.0,Mexico City,male,Mexico,"sculptor,painter",,[]
Manuel Rodríguez Lozano,"Muralism, Unknown",Muralism,"{Muralism:1},{Unknown:10}",11,Mexico City,1891.0,1971.0,Mexico City,male,Mexico,"drawer,painter",,[]
Clifford Possum Tjapaltjarri,Native Art,Native Art,{Native Art:92},92,Alice Springs,1932.0,2002.0,Alice Springs,male,Australia,painter,,[]
Emily Kame Kngwarreye,"Native Art, Unknown",Native Art,"{Native Art:75},{Unknown:1}",76,Northern Territory,1910.0,1996.0,Papunya,female,Australia,"textile artist,painter",Northern Territory,[]
John Muafangejo,Native Art,Expressionism,{Native Art:17},17,Angola,1943.0,1987.0,Katutura,male,Namibia,"printmaker,graphic artist",,[]
Johnny Warangkula Tjupurrula,Native Art,Native Art,{Native Art:22},22,Napperby Station,1925.0,2001.0,Papunya,male,,painter,,[]
Stephen Mopope,Native Art,Native Art,{Native Art:17},17,,1898.0,1974.0,,male,United States,painter,,[]
Alexei Harlamoff,"Naturalism, Realism",Realism,"{Naturalism:9},{Realism:61}",70,Dyachevka,1840.0,1925.0,Paris,male,Russian Empire,painter,Veules-les-Roses,[]
Alfred Parsons,"Naturalism, Realism",Realism,"{Naturalism:3},{Realism:21}",24,Beckington,1847.0,1920.0,,male,United Kingdom of Great Britain and Ireland,"botanical illustrator,painter,illustrator,diplomat",Greater London,[]
Archibald Thorburn,Naturalism,Realism,{Naturalism:39},39,Lasswade,1860.0,1935.0,Godalming,male,United Kingdom of Great Britain and Ireland,"lithographer,ornithologist,painter,illustrator",,[]
August Friedrich Schenck,"Naturalism, Romanticism",Romanticism,"{Naturalism:14},{Romanticism:3}",17,Glückstadt,1828.0,1901.0,Écouen,male,Duchy of Holstein,painter,France,[]
Augustus Edwin Mulready,"Naturalism, Unknown",Naturalism,"{Naturalism:29},{Unknown:3}",32,London,1844.0,1905.0,London,male,United Kingdom of Great Britain and Ireland,painter,London,[]
Carl Rungius,Naturalism,Naturalism,{Naturalism:16},16,Neukölln,1869.0,1959.0,New York City,male,Germany,painter,New York City,['New York City:1894-1894']
Charles Tunnicliffe,Naturalism,Realism,{Naturalism:60},60,Langley,1901.0,1979.0,Malltraeth,male,United Kingdom of Great Britain and Ireland,"visual artist,graphic artist,ornithologist,painter,illustrator",,[]
Edward Lear,"Naturalism, Romanticism",Romanticism,"{Naturalism:7},{Romanticism:24}",31,Highgate,1812.0,1888.0,Sanremo,male,United Kingdom of Great Britain and Ireland,"humorist,novelist,ornithologist,painter,illustrator,comedian,poet,writer",,[]
Felix Philipp Kanitz,Naturalism,Naturalism,{Naturalism:40},40,Pest,1829.0,1904.0,Vienna,male,Austrian Empire,"explorer,anthropologist,archaeologist,journalist,art historian,geographer,writer",Vienna,[]
John James Audubon,Naturalism,Naturalism,{Naturalism:186},186,Les Cayes,1785.0,1851.0,New York City,male,France,"scientific illustrator,drawer,printmaker,botanist,ornithologist,painter,biologist,zoologist,writer,photographer,naturalist","London,Edinburgh,Pennsylvania",[]
Maria Sibylla Merian,Naturalism,Baroque,{Naturalism:35},35,Frankfurt,1647.0,1717.0,Amsterdam,female,Dutch Republic,"scientific illustrator,botanical illustrator,entomologist,botanist,graphic artist,painter,illustrator,lepidopterist,artist,naturalist",Surinam,[]
Marie Bashkirtseff,"Naturalism, Realism",Realism,"{Naturalism:5},{Realism:23}",28,Havrontsi,1860.0,1884.0,Paris,female,Russian Empire,"diarist,sculptor,painter,biographer,artist,writer",Paris,['Paris:1870-1884']
Richard Friese,Naturalism,Naturalism,{Naturalism:25},25,Gusev,1854.0,1918.0,Bad Zwischenahn,male,Germany,"university teacher,painter",,[]
Vittorio Tessari,Naturalism,Naturalism,{Naturalism:20},20,Castelfranco Veneto,1860.0,1947.0,Mira,male,Kingdom of Italy,artist,,[]
William Henry Hunt,Naturalism,Naturalism,{Naturalism:50},50,London,1790.0,1864.0,London,male,United Kingdom of Great Britain and Ireland,"painter,artist",,[]
Aldemir Martins,"Naïve Art (Primitivism), Post-Impressionism",Modernismo,"{Naïve Art (Primitivism):37},{Post-Impressionism:1}",38,Aurora,1922.0,2006.0,São Paulo,male,Brazil,"drawer,visual artist,sculptor,painter,illustrator",,[]
Aleksandr Deyneka,"Naïve Art (Primitivism), Realism, Socialist Realism, Unknown",Socialist Realism,"{Naïve Art (Primitivism):1},{Realism:4},{Socialist Realism:12},{Unknown:1}",18,Kursk,1899.0,1969.0,Moscow,male,Russian Socialist Federative Soviet Republic,"graphic artist,university teacher,sculptor,pedagogue,painter,poster artist,illustrator,teacher,photographer",,[]
Christopher Wood,"Naïve Art (Primitivism), Post-Impressionism",Post-Impressionism,"{Naïve Art (Primitivism):20},{Post-Impressionism:27}",47,Knowsley,1901.0,1930.0,Salisbury,male,United Kingdom of Great Britain and Ireland,painter,"London,Paris",[]
Fernando Botero,"Naïve Art (Primitivism), Neo-Figurative Art",Neo-Figurative Art,"{Naïve Art (Primitivism):163},{Neo-Figurative Art:14}",177,Medellín,1932.0,2023.0,Monaco,male,Colombia,"drawer,architectural draftsperson,sculptor,painter,illustrator","Bogotá,Germany,Pietrasanta,Paris,Mexico,New York City,Medellín",[]
Frida Kahlo,"Naïve Art (Primitivism), Surrealism, Unknown",Magic Realism,"{Naïve Art (Primitivism):83},{Surrealism:15},{Unknown:2}",100,Coyoacán,1907.0,1954.0,Coyoacán,female,Mexico,painter,"San Francisco,Detroit,New York City,Mexico City",[]
George Caleb Bingham,"Naïve Art (Primitivism), Romanticism, Unknown",Romanticism,"{Naïve Art (Primitivism):45},{Romanticism:3},{Unknown:2}",50,Augusta County,1811.0,1879.0,Kansas City,male,United States,"architectural draftsperson,graphic artist,university teacher,painter,politician","Düsseldorf,Washington, D.C.,Philadelphia,Boonville,New York City",[]
Ivan-Valentyn Zadorozhny,Naïve Art (Primitivism),Socialist Realism,{Naïve Art (Primitivism):12},12,Rzhyshchiv,1921.0,1988.0,Kyiv,male,Soviet Union,painter,,[]
Jean-Michel Basquiat,"Naïve Art (Primitivism), Neo-Dada, Neo-Expressionism, Street art",Neo-Expressionism,"{Naïve Art (Primitivism):1},{Neo-Dada:4},{Neo-Expressionism:13},{Street art:139}",157,Park Slope,1960.0,1988.0,New York City,male,United States,"artivist,installation artist,drawer,graffiti artist,musicologist,architectural draftsperson,visual artist,sculptor,painter,record producer,composer,actor,photographer","Manhattan,Brooklyn,Hawaii,Abidjan,Venice,Modena",[]
Niko Pirosmani,Naïve Art (Primitivism),Avant-garde,{Naïve Art (Primitivism):220},220,Mirzaani,1862.0,1918.0,Tbilisi,male,Georgia,painter,Georgia,[]
Norval Morrisseau,Naïve Art (Primitivism),Native Art,{Naïve Art (Primitivism):85},85,Greenstone,1932.0,2007.0,Toronto,male,Canada,painter,,[]
Paweł Kluza,"Naïve Art (Primitivism), Op Art, Pop Art, Unknown",Contemporary,"{Naïve Art (Primitivism):4},{Op Art:1},{Pop Art:4},{Unknown:6}",15,Poland,1983.0,,,male,Poland,painter,,[]
Sergei Parajanov,"Naïve Art (Primitivism), Neo-Dada, Pop Art, Surrealism",Surrealism,"{Naïve Art (Primitivism):6},{Neo-Dada:8},{Pop Art:6},{Surrealism:5}",25,Tbilisi,1924.0,1990.0,Yerevan,male,Soviet Union,"film screenwriter,film editor,visual artist,film director,painter,screenwriter",,[]
Vangel Naumovski,"Naïve Art (Primitivism), Surrealism",Surrealism,"{Naïve Art (Primitivism):1},{Surrealism:21}",22,Ohrid,1924.0,2006.0,,male,North Macedonia,painter,,[]
William Hawkins,"Naïve Art (Primitivism), Outsider art",Outsider art (Art brut),"{Naïve Art (Primitivism):31},{Outsider art:7}",38,,,,,male,,politician,,[]
Amilcar de Castro,Neo-Concretism,Neo-Concretism,{Neo-Concretism:14},14,Paraisópolis,1920.0,2002.0,Belo Horizonte,male,Brazil,"sculptor,painter,graphic designer",,[]
Alison Knowles,Neo-Dada,Neo-Dada,{Neo-Dada:10},10,New York City,1933.0,,,female,United States,"electronic literature writer,sound artist,drawer,performance artist,visual artist,artist,rower",Amsterdam,['Amsterdam:1962-1962']
Ay-O,Neo-Dada,Neo-Dada,{Neo-Dada:15},15,Ibaraki Prefecture,1931.0,,,male,Japan,"painter,illustrator,graphic designer",,[]
Claes Oldenburg,"Neo-Dada, Pop Art, Unknown",Pop Art,"{Neo-Dada:1},{Pop Art:22},{Unknown:1}",24,Malmö,1929.0,2022.0,Manhattan,male,Sweden,"drawer,architectural draftsperson,printmaker,performance artist,designer,visual artist,graphic artist,sculptor,painter","Rye,Oslo,Chicago,New York City,Chatte,New Haven,Los Angeles",[]
Daniel Spoerri,"Neo-Dada, Nouveau Réalisme",Neo-Dada,"{Neo-Dada:14},{Nouveau Réalisme:11}",25,Galați,1930.0,2024.0,Vienna,male,Romania,"printmaker,performance artist,dancer,director,visual artist,choreographer,university teacher,sculptor,painter,editing staff",Paris,[]
Gianfranco Baruchello,"Neo-Dada, Pop Art",Neo-Dada,"{Neo-Dada:10},{Pop Art:3}",13,Livorno,1924.0,2023.0,Rome,male,Italy,"video artist,drawer,performance artist,film director,painter,poet,writer","Rome,Paris",[]
Jim Dine,"Neo-Dada, Pop Art",Neo-Dada,"{Neo-Dada:21},{Pop Art:14}",35,Cincinnati,1935.0,,,male,United States,"assemblage artist,lithographer,drawer,printmaker,performance artist,designer,visual artist,scenographer,graphic artist,sculptor,painter,illustrator,artist,photographer","New York City,Paris,London,Cincinnati,Boston,New Haven,Oberlin,Ithaca,Athens,Walla Walla",[]
Jimmie Durham,Neo-Dada,Neo-Dada,{Neo-Dada:19},19,Houston,1940.0,2021.0,Berlin,male,United States,"video artist,performance artist,visual artist,sculptor,poet,writer,photographer",Germany,[]
John Armleder,"Neo-Dada, Neo-Geo, Neo-Pop Art, Post-Minimalism, Unknown",Neo-Dada,"{Neo-Dada:1},{Neo-Geo:5},{Neo-Pop Art:4},{Post-Minimalism:5},{Unknown:4}",19,Geneva,1948.0,,,male,Switzerland,"visual artist,university teacher,sculptor,artist",,[]
Konrad Lueg,"Neo-Dada, Op Art, Pop Art",Neo-Dada,"{Neo-Dada:7},{Op Art:11},{Pop Art:2}",20,Düsseldorf,1939.0,1996.0,Düsseldorf,male,Germany,"gallerist,painter,illustrator",Düsseldorf,[]
Manfred Kuttner,"Neo-Dada, Op Art",Neo-Dada,"{Neo-Dada:3},{Op Art:10}",13,Greiz,1937.0,2007.0,Düsseldorf,male,Germany,painter,,[]
Marisol Escobar,Neo-Dada,Neo-Dada,{Neo-Dada:15},15,16th arrondissement of Paris,1930.0,2016.0,Manhattan,female,Venezuela,"assemblage artist,drawer,designer,sculptor,painter","New York City,Los Angeles,Paris","['New York City:1950-1950', 'Los Angeles:1946-1946']"
Mark Dion,Neo-Dada,Neo-Dada,{Neo-Dada:11},11,New Bedford,1961.0,,,male,United States,"conceptual artist,installation artist,drawer,visual artist,artist","New York City,Beach Lake",['New York City:1984-1984']
Nam June Paik,Neo-Dada,Neo-Dada,{Neo-Dada:22},22,Seoul,1932.0,2006.0,Miami,male,South Korea,"video artist,installation artist,pioneer,multimedia artist,visual artist,university teacher,painter,television producer,composer,photographer","Germany,New York City,United States",[]
Adrian Ghenie,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:24},24,Baia Mare,1977.0,,,male,Romania,"visual artist,painter","Berlin,Cluj-Napoca",[]
Adriana Varejão,"Neo-Expressionism, Postcolonial art",Postcolonial art,"{Neo-Expressionism:3},{Postcolonial art:11}",14,Rio de Janeiro,1964.0,,,female,Brazil,"drawer,visual artist,sculptor,painter",'s-Hertogenbosch,"[""'s-Hertogenbosch:2008-2008""]"
Alaa Awad,"Neo-Expressionism, Street art, Unknown",Street art,"{Neo-Expressionism:16},{Street art:11},{Unknown:5}",32,,1960.0,,,male,Egypt,"actor,researcher",,[]
Anish Kapoor,"Neo-Expressionism, Post-Minimalism",Post-Minimalism,"{Neo-Expressionism:6},{Post-Minimalism:7}",13,Mumbai,1954.0,,,male,India,"drawer,visual artist,scenographer,jewelry designer,sculptor,painter,artist,architect","London,'s-Hertogenbosch","['London:1977-2013', ""'s-Hertogenbosch:1994-1994""]"
Beatriz González,"Neo-Expressionism, Outsider art, Pop Art",Pop Art,"{Neo-Expressionism:7},{Outsider art:1},{Pop Art:11}",19,Bucaramanga,1932.0,,,female,Colombia,researcher,,[]
Betty Goodwin,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:12},12,Montreal,1923.0,2008.0,Montreal,female,Canada,"drawer,painter",,[]
Chris Ofili,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:45},45,Manchester,1968.0,,,male,United Kingdom,"drawer,visual artist,sculptor,painter,artist,photographer","Trinidad and Tobago,London,Zimbabwe",[]
Dana Schutz,"Neo-Expressionism, Unknown",Contemporary,"{Neo-Expressionism:78},{Unknown:1}",79,Livonia,1976.0,,,female,United States,"drawer,painter",New York City,['New York City:1999-2010']
Daniel Richter,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:10},10,Eutin,1962.0,,,male,Germany,"drawer,architectural draftsperson,university teacher,painter,artist,teacher,actor,researcher","Vienna,Hamburg,Berlin",[]
David Bowie,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:15},15,Brixton,1947.0,2016.0,Manhattan,male,United Kingdom,"manufacturer,saxophonist,occultist,film actor,art collector,librettist,film producer,vocalist,music video director,painter,guitarist,bandleader,songwriter,mime artist,musician,singer-songwriter,pianist,record producer,singer,composer,actor","New York City,Berlin",['Berlin:1976-1978']
David Park,Neo-Expressionism,Expressionism,{Neo-Expressionism:17},17,,,,,male,,"drawer,painter,researcher",,[]
Denise Green,Neo-Expressionism,New Image Painting,{Neo-Expressionism:15},15,Melbourne,1946.0,,,female,Australia,"drawer,painter",,[]
Dumitru Gorzo,"Neo-Expressionism, Neo-Pop Art",Neo-Pop Art,"{Neo-Expressionism:6},{Neo-Pop Art:9}",15,Ieud,1975.0,,,male,Romania,painter,,[]
Enzo Cucchi,"Neo-Expressionism, Surrealism",Neo-Expressionism,"{Neo-Expressionism:36},{Surrealism:4}",40,Morro d'Alba,1949.0,,,male,Italy,"installation artist,drawer,printmaker,visual artist,sculptor,painter",,[]
Georg Baselitz,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:34},34,Kamenz,1938.0,,,male,Germany,"printmaker,scenographer,university teacher,sculptor,painter,illustrator,artist","Berlin,Inning am Ammersee",[]
Graca Morais,"Neo-Expressionism, Unknown",Neo-Expressionism,"{Neo-Expressionism:19},{Unknown:1}",20,,,,,,,,,
Henry Villierme,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:13},13,San Francisco,1928.0,2013.0,Ojai,male,United States,painter,,[]
Jenny Saville,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:36},36,Cambridge,1970.0,,,female,United Kingdom,"painter,photographer","Cincinnati,Palermo,London,Glasgow",[]
Jorg Immendorff,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:18},18,Bleckede,1945.0,2007.0,Düsseldorf,male,Germany,"lithographer,drawer,graphic artist,university teacher,sculptor,painter",Düsseldorf,[]
Julian Schnabel,Neo-Expressionism,Neo-Expressionism,{Neo-Expressionism:47},47,New York City,1951.0,,,male,United States,"drawer,architectural draftsperson,printmaker,director,visual artist,film director,sculptor,painter,photographer,screenwriter","New York City,San Sebastián",[]
